"id","collection_id","status","action","type","created_at","last_updated_at","alias","user_id"
"00313c6a-e0bd-43ef-b7d8-88fea00df090","7b3ea373-5dc2-4dbf-a305-7fb8407a8181","init","start","coach-ia","2024-07-09 15:02:15","2024-07-09 15:02:15",NULL,NULL
"00763690-e97c-4b0a-9074-f85dd8496558","f5276c4d-5301-4a0d-b996-00ce5643f034","init","start","coach-ia","2024-07-16 09:41:56","2024-07-16 10:41:00","Révolution IA: Discours pour l'avenir",NULL
"0097ef60-f687-4ebf-8f17-29a865044359","8cda0810-4230-4305-8892-41c7d2a51f0c","init","start","chat-with-data","2024-07-11 15:26:01","2024-07-11 15:26:10","Maîtrise de la stérilité: Points Clés",NULL
"01441e22-e78b-4b0e-b4a8-7713e6383e0d","8cda0810-4230-4305-8892-41c7d2a51f0c","init","start","chat-with-data","2024-07-11 09:45:47","2024-07-11 09:46:05",NULL,NULL
"019e2ca0-c183-4e09-b986-2e4cf0e5d181","eee273b4-a7c9-4366-aac8-bdf3dd3561c5","init","start","chat-with-data",NULL,NULL,NULL,NULL
"01a97a50-2a2c-40f5-891e-22a3b666c656","c800da54-f23a-4c51-8e8e-b854ddcd306e","init","start","chat-with-data","2024-07-04 20:18:15","2024-07-04 20:23:20",NULL,NULL
"01d2d3b6-74ff-43eb-b950-e7b85d138bd6","02c32f70-9a3c-4eda-ada3-c5ec2ad38d18","init","start","coach-ia","2024-07-04 13:41:01","2024-07-04 13:41:19",NULL,NULL
"025c38de-712b-4669-a3e8-a9824b86a6fe","ef875d9b-6b9b-4ef0-ba5c-6887b7767746","init","start","chat-with-data",NULL,NULL,NULL,NULL
"025e2fe3-95db-4315-b6ab-3ebd62abfe59","747a78b6-2db7-48a3-9bc9-d0e93d814cab","init","start","chat-with-data",NULL,NULL,NULL,NULL
"028195ae-c462-4e2f-ade5-c7f1e2a9d474","c7165efd-a964-4484-986d-2d4266990b2f","init","start","chat-with-data",NULL,NULL,NULL,NULL
"02ed2b1b-7db1-4505-81ca-47543243be32","5a1331df-8d97-4517-a60f-7a32c4d5a63e","init","start","chat-with-data","2024-07-08 16:15:50","2024-07-09 07:41:27",NULL,NULL
"03232eac-f846-4484-a041-7459b00eb854","02c32f70-9a3c-4eda-ada3-c5ec2ad38d18","init","start","coach-ia","2024-07-05 12:13:49","2024-07-05 12:13:59",NULL,NULL
"0374bcaf-b571-4adf-b978-fbd7e800cb2e","585990a6-b269-422a-ae63-50132a7cf6f6","init","start","chat-with-data",NULL,NULL,NULL,NULL
"03c7b9d5-8e46-4d3d-ac39-d7a7d84ef55f","69dd5ef2-96b5-4577-b42b-c560efba39c9","init","start","chat-with-data","2024-07-25 13:37:54","2024-07-25 14:51:54","Position actuelle de Soizic Penicaud",NULL
"04007811-e112-4783-8006-e1d386c4c874","8b0e209e-7f6f-452d-87c8-c42e49b05c61","init","start","coach-ia",NULL,NULL,NULL,NULL
"0419b83c-a308-4a45-9529-2d9d9732f3d7","99677edf-b959-43a5-b1c0-0ce44ca72541","init","start","chat-with-data",NULL,NULL,NULL,NULL
"041adfeb-972f-4557-b6a6-825976149fbb","cd094185-a69e-4673-b497-30f2676391fb","init","start","chat-with-data","2024-07-31 15:27:34","2024-08-01 08:51:50","Philosophie des IA",NULL
"0482361a-e020-4f5e-87e0-198b1d8e5017","b9074cfd-a4a1-4d61-bd9c-9b45694a966d","init","start","chat-with-data","2024-07-08 15:37:49","2024-07-08 17:39:48",NULL,NULL
